comment,sentiment
雖然今日私了係出返一口氣，但對國際戰線會唔會有負面影響？,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
唔會,0
#hehe#,0
打得好,1
唔會,0
唔會,0
on9,0
唔會,0
唔會,0
唔會,0
唔會,0
Never利申: 外國勢力,0
Don’t doubt what u do,1
唔會,1
唔會,1
大家欣賞完就del 片唔好周圍share la,1
一定唔會,0
唔會 完 不推文,1
no,0
唔會,0
"係地區打架,關示威事嗎?",0
唔會,0
唔會,0
唔會，因為先撩者賤係普世價值,0
ON撚9 人地覺得咁做先正常呀柒頭被人傻鳩鳩咁打唔還手 被人笑鳩左好耐啦,0
屌，咪on9啦打拳頭交此po已完,0
今日終於見番何謂~正義,0
唔會,0
唔會,0
唔會,1
唔會,1
唔會,1
no,1
911俾人炸美軍出兵得咩人會反對？咪得?自以為是既大愛和平左膠囉,1
"係地區打架,關示威事嗎?仆親?咪大驚小怪",1
唔知，但手足做得好！,1
唔會！,1
話?知你南極有咩意見自己香港自己救,1
唔會 你收皮ok,0
唔會,1
保護自己人人有責,1
呢d叫Hongkonger finally strike back,1
唔會,1
唔會,1
唔會,1
唔會。見唔到有私了，只係有仆街仆街。,1
on99黑狗打人藍絲有冇話咪撚打呀驚影響狗隊聲譽呀,1
有哂片，日頭佢地集結係北角出黎打人先既,1
好似警慌咁做好輿論 文宣,1
唔會,1
唔會,1
世界上有邊個地方係只有黑社會打人但唔比平民還拖,1
唔會,1
唔好打頭喇 打斷手手腳腳咪算,1
"打共產黨員, 有咩問題?",1
唔會，你看都無爛玻璃,1
唔會,1
我地係自衛幫手去twitter解釋前因後果,1
唔會,1
唔會,1
做返好文宣 大家要幫手開Twitter ac,1
"立場影到，起正隔離出摺?都無事，仲要同班狗一齊""推進""，仲聽到個福建佬同班狗講話唔好阻住我做野
#ng#",1
手足保護手足 制服反中亂港暴民,0
唔會,0
唔會,0
唔會,0
on99 駛唔駛又唱首今天我呀,0
"痴線 明明係驚察臥底做 咪老屈
#haha#dog
#hehe#dog",0
唔會,0
唔會,0
正常人思想係會問點解條友會畀人打。係藍絲廢老先會問點解要打果條友。,0
國際都見倒我地俾人打足3個月啦....,0
還拖姐 本身你唔搞人咪唔搞你,0
721 811 831 同埋千幾個義士諗返轉頭就覺得今日真係少事,0
我地係還拖，唔係襲擊平民，係班福建佬打人先,0
勇武仔好?！！,0
"#kill#
#kill#
#kill#
#kill#",0
唔會,0
唔會 福建佬與狗同行 仲用埋電油,0
"見到前7層都係答唔會省返我個句
#good#",0
唔會,0
打黑社會點會割,0
唔會,0
唔會 大力支持自衛,0
打得唔夠狠，可能會引黎外國批評,0
唔會,0
"唔會
#[flowerface]#mf",0
負面在太輕手,0
顯示 #1國際：咁都叫打交？,0
唔會,0
驚就上twitter做文宣,0
"唔會 香港人係自己地方打黑社會 根本天經地義Dear Americans, please help us to liberate Hong Kong!",0
"#drum#pig
#drum#pig
#drum#pig
#drum#pig",0
唔會,0
咁之前咁多單？我地忍到今日國際風向咁易轉？,0
唔會,0
負評不推文,0
"well done
#yup#mf",0
唔會,0
唔會,0
唔係私了係自衛反擊,0
唔會,0
"自衛行動與示威無關
#no#",0
唔會,0
攬炒就一定有負面影響,0
鬼佬唔一定幫香港,0
No,0
唔會,0
國際只會覺得你班香港人等左三個月先識得用拳頭去捍?自己的立場,0
"打下架好正常姐
#sowhat#pig",0
唔會,0
唔會唔好撚傻 次次俾人打完唔還手俾外國人笑到我地面都黃,0
唔會 自衛姐,0
唔會,0
"私人恩怨關示威咩事
#?_?#mf",0
如果人地知唔係我地主動郁手 只係自衛還擊 點會覺得有問題呀,0
"被人斬拎晒國際光環咁點係唔係你幫手足醫
#:o)#lm2
#:o)#lm2",0
顯示 #1唔打至大鑊，美國會以為香港已和平,0
對準政權同黑社會民心撚走啦,0
唔會,0
"唔知, 理性諗不想活在同溫層",0
前線自由發揮，文宣包底,0
唔會,0
佢地打人先~ 大家無錯! 叫埋D狗黎仲可以同班Fucking有講有笑~ 外國人見到都嬲啦!,0
唔會,0
唔還手比鬼佬笑添呀onlun9,0
唔私了先會有影響個個都笑鳩緊我地廢俾人打都唔識還手,0
如果今日咁會影響 咁721 831 仲有N咁多日國際會接受到 示威黎講 香港人真心已經好克制,0
先撩者賤， you know?但小心俾對家做黑材料要準備好還擊,0
睇文宣,0
自衛有咩影響？,0
唔撚會 放心,0
唔會,0
"睇片見到用左最低武力
#[bomb]#mf",0
唔會,0
"戇撚鳩
#:o)#mf",0
https://twitter.com/solomonyue/status/1173216888140136448?s=21,0
唔會,0
美國打緊大老虎想搵籍口郁佢會唔會因為有幾條友畀人打而唔幫你唔好咁天直啦人地幫我地係因為要郁強國唔係因為我地慘/ 熱切追求民主如果佢要幫 點解5年前唔幫？總之打得小心d唔好瞄頭打打唔死人就ok,0
唔會,0
No,0
你覺得聯合國會譴責打擊黑社會？,0
顯示 #1驚?咩藍絲夠打鳩人國際有?反應咩,0
戇鳩依家黑社會福建幫打人又掉玻璃樽,0
唔會咪撚推,0
唔會,0
平時唔私了，打不還手仲要畀黑警放生，對國際戰線有冇正面影響？,0
唔反擊對家只會變本加厲,0
國際戰線：中國共產黨聘請打手追打示威者，市民保鄉衛族，合理自衛,0
